x log_normal gamma weibull
13.0 0.0030663273733843406 0.0022058511084056855 0.0023297885245623256
13.25 0.002923508974501168 0.0020452998169754257 0.0021636854505675484
13.5 0.002788727804755231 0.0018962165576762659 0.0020090079077435103
13.75 0.0026614530843026094 0.0017578059167833032 0.0018650090793336268
14.0 0.002541194173520739 0.0016293249259509042 0.0017309871424578014
14.25 0.0024274971700489387 0.0015100799376529877 0.0016062829555105217
14.5 0.002319941822957123 0.0013994236422273816 0.0014902778184131898
14.75 0.0022181387321889537 0.0012967522269314875 0.0013823913098293171
15.0 0.0021217268047970784 0.0012015026760070326 0.0012820792042001058
15.25 0.0020303709424951133 0.0011131502096314218 0.0011888314704006954
15.5 0.0019437599377317585 0.001031205858754354 0.0011021703529275652
15.75 0.0018616045578814535 0.0009552141721404936 0.0010216485357824178
16.0 0.0017836357992748286 0.0008847510514282871 0.0009468473885974345
16.25 0.0017096032946892798 0.0008194217096428612 0.0008773752940341254
16.5 0.0016392738596108492 0.0007588587483433936 0.0008128660550682126
16.75 0.0015724301640859379 0.0007027203484220832 0.0007529773804331805
17.0 0.001508869518325903 0.0006506885694859157 0.0006973894462241689
17.25 0.0014484027614269975 0.0006024677527294019 0.0006458035314520753
17.5 0.00139085324363916 0.0005577830222343483 0.0005979407251765149
17.75 0.0013360558935734776 0.0005163788797012979 0.0005535407027284487
18.0 0.0012838563625932327 0.00047801788771811827 0.000512360568452302
18.25 0.001234110239397827 0.0004424794367970992 0.00047417376234776574
18.5 0.0011866823284932266 0.0004095585915569311 0.000438769027968336
18.75 0.0011414459868552625 0.0003790650115850911 0.0004059494389327568
19.0 0.0010982825136413297 0.0003508219426852879 0.0003755314814232802
19.25 0.0010570805882984635 0.0003246652743903402 0.0003473441900778297
19.5 0.0010177357528579083 0.00030044265980030217 0.00032122833472897046
19.75 0.0009801499346032416 0.0002780126939865364 0.00029703565549875306
20.0 0.0009442310056560564 0.0002572441473828351 0.00027462814382280394
20.25 0.0009098923763442238 0.00023801525076314276 0.00025387736704785084
20.5 0.0008770526195067938 0.00022021302858066152 0.0002346638343225452
20.75 0.0008456351231499703 0.00020373267761422673 0.0002168764015807269
21.0 0.0008155677691033872 0.00018847698803403884 0.0002004117134980228
21.25 0.0007867826355377496 0.00017435580415961786 0.00018517368038590724
21.5 0.0007592157213962376 0.0001612855223377734 0.0001710729880713022
21.75 0.0007328066909649127 0.0001491886235172044 0.0001580266388937161
22.0 0.000707498636963746 0.00013799323823887063 0.00014595752203530528
22.25 0.0006832378606814087 0.00012763274189745338 0.00013479401148153576
22.5 0.00065997366780512 0.00011804537825900929 0.00012446958999100735
22.75 0.00063765817871303 0.00010917390934338556 0.00011492249753209027
23.0 0.0006162461521020226 0.00010096528989719165 0.0001060954027210997
23.25 0.0005956948209194619 9.337036479423924e-05 9.793509587158296e-05
23.5 0.000575963739654315 8.634358780554009e-05 9.039220233674633e-05
23.75 0.0005570146421220969 7.984276028035777e-05 8.342091489702149e-05
24.0 0.0005388113089499243 7.382878837365404e-05 7.697874401214628e-05
24.25 0.0005213194440333995 6.826545754375325e-05 7.102628482190362e-05
24.5 0.0005045065592966362 6.31192231273973e-05 6.552699984176814e-05
24.75 0.000488341867141077 5.835901587778989e-05 6.044701635916686e-05
25.0 0.0004727961800182827 5.395606142496444e-05 5.5754937592890156e-05
25.25 0.0004578418166071415 4.988371268707067e-05 5.142166673240361e-05
25.5 0.0004434525141172407 4.611729432618967e-05 4.742024302547623e-05
25.75 0.000429603346277931 4.263395840326064e-05 4.3725689131696564e-05
26.0 0.00041627064660713404 3.941255044386293e-05 4.031486900616136e-05
26.25 0.00040343193658556946 3.643348518012878e-05 3.716635562196501e-05
26.5 0.00039106585839103757 3.367863128418852e-05 3.4260307882159465e-05
26.75 0.0003791521118738866 3.113120445544108e-05 3.157835611167893e-05
27.0 0.0003676713954791571 2.8775668267797613e-05 2.9103495557405145e-05
27.25 0.0003566053508431826 2.6597642224038144e-05 2.681998736017541e-05
27.5 0.0003459365108129277 2.4583816502713672e-05 2.471326649618754e-05
27.75 0.00033564825065515415 2.2721872918792335e-05 2.2769856217016126e-05
28.0 0.00032572474223979876 2.100041165262944e-05 2.0977288547407704e-05
28.25 0.0003161509109978639 1.9408883332992355e-05 1.9324030428250136e-05
28.5 0.00030691239546874077 1.7937526088927865e-05 1.779941511869445e-05
28.75 0.0002979955092653671 1.6577307212351777e-05 1.6393578496423386e-05
29.0 0.0002893872052980355 1.531986909849431e-05 1.5097399918590202e-05
29.25 0.0002810750421090963 1.4157479154868545e-05 1.3902447328066184e-05
